utterance_id,speaker_id,audio_path,label_path,transcript_path,split
m01020105401,m01,data\raw\audio_m\m01\m01020105401.wav,data\labels\uniform_audio_mz\m01020105401.lab,data\transcripts\text\m01\m01020105401.txt,train
m01020105402,m01,data\raw\audio_m\m01\m01020105402.wav,data\labels\uniform_audio_mz\m01020105402.lab,data\transcripts\text\m01\m01020105402.txt,train
m01020205101,m01,data\raw\audio_m\m01\m01020205101.wav,data\labels\uniform_audio_mz\m01020205101.lab,data\transcripts\text\m01\m01020205101.txt,train
m01020205102,m01,data\raw\audio_m\m01\m01020205102.wav,data\labels\uniform_audio_mz\m01020205102.lab,data\transcripts\text\m01\m01020205102.txt,train
m01020205103,m01,data\raw\audio_m\m01\m01020205103.wav,data\labels\uniform_audio_mz\m01020205103.lab,data\transcripts\text\m01\m01020205103.txt,train
m01020205104,m01,data\raw\audio_m\m01\m01020205104.wav,data\labels\uniform_audio_mz\m01020205104.lab,data\transcripts\text\m01\m01020205104.txt,train
m01020205105,m01,data\raw\audio_m\m01\m01020205105.wav,data\labels\uniform_audio_mz\m01020205105.lab,data\transcripts\text\m01\m01020205105.txt,train
m01020205201,m01,data\raw\audio_m\m01\m01020205201.wav,data\labels\uniform_audio_mz\m01020205201.lab,data\transcripts\text\m01\m01020205201.txt,train
m01020205202,m01,data\raw\audio_m\m01\m01020205202.wav,data\labels\uniform_audio_mz\m01020205202.lab,data\transcripts\text\m01\m01020205202.txt,train
m01020205203,m01,data\raw\audio_m\m01\m01020205203.wav,data\labels\uniform_audio_mz\m01020205203.lab,data\transcripts\text\m01\m01020205203.txt,test
m01020205204,m01,data\raw\audio_m\m01\m01020205204.wav,data\labels\uniform_audio_mz\m01020205204.lab,data\transcripts\text\m01\m01020205204.txt,val
m01020205301,m01,data\raw\audio_m\m01\m01020205301.wav,data\labels\uniform_audio_mz\m01020205301.lab,data\transcripts\text\m01\m01020205301.txt,train
m01020205302,m01,data\raw\audio_m\m01\m01020205302.wav,data\labels\uniform_audio_mz\m01020205302.lab,data\transcripts\text\m01\m01020205302.txt,train
m01020205303,m01,data\raw\audio_m\m01\m01020205303.wav,data\labels\uniform_audio_mz\m01020205303.lab,data\transcripts\text\m01\m01020205303.txt,train
m01020205304,m01,data\raw\audio_m\m01\m01020205304.wav,data\labels\uniform_audio_mz\m01020205304.lab,data\transcripts\text\m01\m01020205304.txt,train
m01020402101,m01,data\raw\audio_m\m01\m01020402101.wav,data\labels\uniform_audio_mz\m01020402101.lab,data\transcripts\text\m01\m01020402101.txt,test
m01020402102,m01,data\raw\audio_m\m01\m01020402102.wav,data\labels\uniform_audio_mz\m01020402102.lab,data\transcripts\text\m01\m01020402102.txt,test
m01020402103,m01,data\raw\audio_m\m01\m01020402103.wav,data\labels\uniform_audio_mz\m01020402103.lab,data\transcripts\text\m01\m01020402103.txt,train
m01020402104,m01,data\raw\audio_m\m01\m01020402104.wav,data\labels\uniform_audio_mz\m01020402104.lab,data\transcripts\text\m01\m01020402104.txt,test
m01020402105,m01,data\raw\audio_m\m01\m01020402105.wav,data\labels\uniform_audio_mz\m01020402105.lab,data\transcripts\text\m01\m01020402105.txt,train
m01020402106,m01,data\raw\audio_m\m01\m01020402106.wav,data\labels\uniform_audio_mz\m01020402106.lab,data\transcripts\text\m01\m01020402106.txt,train
m01020502401,m01,data\raw\audio_m\m01\m01020502401.wav,data\labels\uniform_audio_mz\m01020502401.lab,data\transcripts\text\m01\m01020502401.txt,train
m01020502402,m01,data\raw\audio_m\m01\m01020502402.wav,data\labels\uniform_audio_mz\m01020502402.lab,data\transcripts\text\m01\m01020502402.txt,train
m01020502403,m01,data\raw\audio_m\m01\m01020502403.wav,data\labels\uniform_audio_mz\m01020502403.lab,data\transcripts\text\m01\m01020502403.txt,train
m01020502404,m01,data\raw\audio_m\m01\m01020502404.wav,data\labels\uniform_audio_mz\m01020502404.lab,data\transcripts\text\m01\m01020502404.txt,train
m01020502405,m01,data\raw\audio_m\m01\m01020502405.wav,data\labels\uniform_audio_mz\m01020502405.lab,data\transcripts\text\m01\m01020502405.txt,val
m01030105201,m01,data\raw\audio_m\m01\m01030105201.wav,data\labels\uniform_audio_mz\m01030105201.lab,data\transcripts\text\m01\m01030105201.txt,train
m01030105202,m01,data\raw\audio_m\m01\m01030105202.wav,data\labels\uniform_audio_mz\m01030105202.lab,data\transcripts\text\m01\m01030105202.txt,train
m01030502101,m01,data\raw\audio_m\m01\m01030502101.wav,data\labels\uniform_audio_mz\m01030502101.lab,data\transcripts\text\m01\m01030502101.txt,train
m01030502102,m01,data\raw\audio_m\m01\m01030502102.wav,data\labels\uniform_audio_mz\m01030502102.lab,data\transcripts\text\m01\m01030502102.txt,train
m01030502103,m01,data\raw\audio_m\m01\m01030502103.wav,data\labels\uniform_audio_mz\m01030502103.lab,data\transcripts\text\m01\m01030502103.txt,test
m01030502104,m01,data\raw\audio_m\m01\m01030502104.wav,data\labels\uniform_audio_mz\m01030502104.lab,data\transcripts\text\m01\m01030502104.txt,train
m01030502301,m01,data\raw\audio_m\m01\m01030502301.wav,data\labels\uniform_audio_mz\m01030502301.lab,data\transcripts\text\m01\m01030502301.txt,train
m01030502302,m01,data\raw\audio_m\m01\m01030502302.wav,data\labels\uniform_audio_mz\m01030502302.lab,data\transcripts\text\m01\m01030502302.txt,train
m01030502303,m01,data\raw\audio_m\m01\m01030502303.wav,data\labels\uniform_audio_mz\m01030502303.lab,data\transcripts\text\m01\m01030502303.txt,val
m01030502304,m01,data\raw\audio_m\m01\m01030502304.wav,data\labels\uniform_audio_mz\m01030502304.lab,data\transcripts\text\m01\m01030502304.txt,val
m01030502305,m01,data\raw\audio_m\m01\m01030502305.wav,data\labels\uniform_audio_mz\m01030502305.lab,data\transcripts\text\m01\m01030502305.txt,train
m01030502306,m01,data\raw\audio_m\m01\m01030502306.wav,data\labels\uniform_audio_mz\m01030502306.lab,data\transcripts\text\m01\m01030502306.txt,train
m01040203101,m01,data\raw\audio_m\m01\m01040203101.wav,data\labels\uniform_audio_mz\m01040203101.lab,data\transcripts\text\m01\m01040203101.txt,train
