utterance_id,speaker_id,audio_path,label_path,transcript_path,split
sm04010103201,sm04,data\raw\wav_sm04\sm04010103201.wav,data\labels\lab_sm04\sm04010103201.lab,data\transcripts\txt_sm04\sm04010103201.txt,train
sm04010103301,sm04,data\raw\wav_sm04\sm04010103301.wav,data\labels\lab_sm04\sm04010103301.lab,data\transcripts\txt_sm04\sm04010103301.txt,train
sm04010105101,sm04,data\raw\wav_sm04\sm04010105101.wav,data\labels\lab_sm04\sm04010105101.lab,data\transcripts\txt_sm04\sm04010105101.txt,train
sm04010105102,sm04,data\raw\wav_sm04\sm04010105102.wav,data\labels\lab_sm04\sm04010105102.lab,data\transcripts\txt_sm04\sm04010105102.txt,train
sm04010105103,sm04,data\raw\wav_sm04\sm04010105103.wav,data\labels\lab_sm04\sm04010105103.lab,data\transcripts\txt_sm04\sm04010105103.txt,train
sm04010105104,sm04,data\raw\wav_sm04\sm04010105104.wav,data\labels\lab_sm04\sm04010105104.lab,data\transcripts\txt_sm04\sm04010105104.txt,train
sm04010105105,sm04,data\raw\wav_sm04\sm04010105105.wav,data\labels\lab_sm04\sm04010105105.lab,data\transcripts\txt_sm04\sm04010105105.txt,train
sm04010105106,sm04,data\raw\wav_sm04\sm04010105106.wav,data\labels\lab_sm04\sm04010105106.lab,data\transcripts\txt_sm04\sm04010105106.txt,train
sm04010105107,sm04,data\raw\wav_sm04\sm04010105107.wav,data\labels\lab_sm04\sm04010105107.lab,data\transcripts\txt_sm04\sm04010105107.txt,val
sm04010105108,sm04,data\raw\wav_sm04\sm04010105108.wav,data\labels\lab_sm04\sm04010105108.lab,data\transcripts\txt_sm04\sm04010105108.txt,train
sm04010105109,sm04,data\raw\wav_sm04\sm04010105109.wav,data\labels\lab_sm04\sm04010105109.lab,data\transcripts\txt_sm04\sm04010105109.txt,train
sm04010105110,sm04,data\raw\wav_sm04\sm04010105110.wav,data\labels\lab_sm04\sm04010105110.lab,data\transcripts\txt_sm04\sm04010105110.txt,val
sm04010105111,sm04,data\raw\wav_sm04\sm04010105111.wav,data\labels\lab_sm04\sm04010105111.lab,data\transcripts\txt_sm04\sm04010105111.txt,train
sm04010105112,sm04,data\raw\wav_sm04\sm04010105112.wav,data\labels\lab_sm04\sm04010105112.lab,data\transcripts\txt_sm04\sm04010105112.txt,train
sm04010105113,sm04,data\raw\wav_sm04\sm04010105113.wav,data\labels\lab_sm04\sm04010105113.lab,data\transcripts\txt_sm04\sm04010105113.txt,train
sm04010105114,sm04,data\raw\wav_sm04\sm04010105114.wav,data\labels\lab_sm04\sm04010105114.lab,data\transcripts\txt_sm04\sm04010105114.txt,train
sm04010105115,sm04,data\raw\wav_sm04\sm04010105115.wav,data\labels\lab_sm04\sm04010105115.lab,data\transcripts\txt_sm04\sm04010105115.txt,train
